name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
Lake County,43.89934500000004,-85.85180199999996,,1958,"Lake County
This county was originally set off in 1840 and first named Aishcum after a well-known Potawatomi chief. In 1843 the name was changed to Lake. For three decades it was attached to neighboring counties until 1871 when settlement was sufficient to warrant organization. Baldwin, the county seat, was settled in 1872. The county’s forests helped make Michigan a leading lumbering state. Farming and the tourist industry are the chief activities. Wildlife is abundant.",,,Lake,Baldwin
Ottawa Beach / Ottawa Beach,42.775337000000036,-86.20114299999995,5,2002,"Ottawa Beach
Ottawa Beach is a well-preserved example of the summer cottage resorts that developed along the Lake Michigan shore during the late nineteenth century. In 1885 the West Michigan Park Association purchased eighty acres of land here. In May 1886 Ottawa County Surveyor Albert Peck platted the resort with 150 cottage lots, streets, and a lot for a hotel. He designated the majority of the land as park area owned in common by cottagers, with each residential lot abutting one of the parks. The Hotel Ottawa, built immediately for the Chicago and West Michigan Railroad (later the Pere Mar…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/35/attachments/42,,Ottawa,Holland
Detroit Finnish Co-Operative Summer Camp Association / Detroitin Suomailinen Kesaleiriyhdistys,42.549067000000036,-83.52046799999994,5,1999,"Detroit Finnish Co-operative Summer Camp Association
On June 21, 1925, Detroit-area people of Finnish descent purchased this land and built a summer camp where they could share the traditions of their native Finland. The Detroit Finnish Co-operative Summer Camp Association organized to maintain the camp and “promote the social, intellectual, cultural, and physical welfare of its members.” The founding members planned and built the campground, constructing the first sauna in 1926 and the existing dance hall in 1927. Summer activities included athletic contests, swimming programs, plays, and th…",,,Oakland,Wixom
St. Ignatius Of Loyola Church And Cemetery / chi-twah Ignatius  nuh-ma  guh-mik (in Odawa),45.55160700000005,-85.11524799999995,,2014,"St. Ignatius Of Loyola Church And Cemetery
By the 1740s, French Catholic missionaries had come to this area, known to the Odawa as Waganakising, to minister to local tribes. Later, missionary work was taken up by others, including Bishop Frederic Baraga (1797-1868), who dedicated a church at this site on August 1, 1833. The present St. Ignatius Church was constructed in 1889 to replace one destroyed by fire that same year. The cemetery next to the church contains the graves of generations of area Odawa and dates to before the present church. In the 1970s, an Odawa caretaker of the cemetery pl…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/39/attachments/53,,Emmet,Harbor Springs
Kalamazoo School Case,42.28416600000003,-85.59001899999998,,1959,"Kalamazoo School Case
Near here, in 1858, Kalamazoo’s first high school was opened. Fifteen years later the right of the school board to levy taxes to support a high school was challenged. A unanimous decision of the Michigan Supreme Court, rendered by Justice Thomas M. Cooley in 1874, affirmed an opinion of Kalamazoo Circuit Judge Charles R. Brown that upheld this right. As a result, the way opened for free high schools in Michigan and also in other states.",,,Kalamazoo,Kalamazoo
David Dunbar Buick / Buick Motor Company,42.330535000000054,-83.03931299999994,,2002,"David Dunbar Buick
David Dunbar Buick, for whom the Buick automobile is named, came to Detroit from Scotland with his parents in 1856 at age two. A plumbing inventor and businessman, Buick turned to building gasoline engines for boats on the Detroit River during the 1890s. By 1900 his first motor firm, Buick Auto-Vim and Power Company, was operating some six blocks north of this site near what is now the southwest corner of Beaubien and Lafayette Streets. The firm’s overhead valve engines became famous for power. The first experimental Buick automobile was built in Detroit circa 1900. On May…",,,Wayne,Detroit
First Baptist Church,42.271938342000055,-84.96303850999999,1,1986,"First Baptist Church
The Reverend Thomas Z.R. Jones, a traveling missionary, began visiting the Marshall area in 1838. On January 15, 1840, he helped organize the First Baptist Church of Marshall with eight members. The group erected this church in 1850-51. They enlarged and remodeled it in 1876 with plans provided by Benjamin J. Bartlett of Chicago. The handsome Romanesque church, now the oldest church edifice in the city, features rounded-arch stained glass windows and an early example of a modified Akron (semicircular) seating plan.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/42/attachments/59,,Calhoun,Marshall
Chappee Rapids,45.15447300000005,-87.70149700099995,,1972,"Chappee Rapids
Stanislaus Chaput, a French-Canadian fur trader sometimes called Louis Chappee, became the first settler at the mouth of the Menominee River in the early 1800s. He fought, along with most of the Green Bay traders, in the British attack on Fort Mackinac during the War of 1812. After the war he traded extensively in the northern Wisconsin region, working for John Lawe, Green Bay fur magnate. Forcibly deposed from his old location in 1824 by rival traders William Farnsworth and Charles Brush, Chaput moved a few miles upstream and built a fortified trading post at the foot of the r…",,,Menominee,Menominee
Trinity Lutheran Church,44.49246000000005,-86.23595999999998,1,2002,"Trinity Lutheran Church
In 1880 many Germans left Milwaukee and settled in Manistee County. Among them was lumberman Henry Starke, who vowed to return to Wisconsin if no Lutheran church could be found. Instead he helped to organize this congregation in 1881, and he platted Arcadia the same year. In 1887 Starke donated land and money for this Neo-Gothic church, completed in 1888. The complex grew to include a parsonage, a school, and a teacherage.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/45/attachments/68,,Manistee,Arcadia
Central Title Service Building,42.28051660800003,-83.74664720099997,3,1986,"Central Title Service Building
On August 6, 1845, the first graduation ceremony for the University of Michigan was held in this building, which was then the First Presbyterian Church. Founded in 1817 in Detroit, the first university of the state moved to Ann Arbor in 1837, the year this building was constructed. Graduations were held here for the next eleven years and then moved to other church locations until the University of Michigan constructed a building large enough for this purpose.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/46/attachments/69,,Washtenaw,Ann Arbor
Escanaba River: The Legend / Escanaba River: The Lumbermen,45.79715200000004,-87.07650199999995,,1967,"Escanaba River: The Legend
This is the land of the Chippewa Indians and the legendary Hiawatha. Indian villages existed along the banks of the river, and Indians were living here when the first white men came to this region in the 1600s. The Indians named the river for the flat rocks over which it runs. In “The Song of Hiawatha,” Longfellow described how Hiawatha “crossed the rushing Esconaba” in pursuit of Mudjekeewis, whom he slew to avenge the death of his mother. The last Indian lands in the Upper Peninsula were ceded to the United States in 1842. This closed an era that began about ten t…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/47/attachments/71,,Delta,Escanaba
Seirn B. Cole House,42.322685000000035,-85.17216299999995,,1988,"Seirn B. Cole House
This flamboyant Arts and Crafts-style house was constructed in 1912. Its first resident, Seirn B. Cole (1861-1947), was a native of New Jersey. He and his wife, Elizabeth Farmer, lived in Detroit before they moved here where Cole was the contractor for the Battle Creek City Hall. Cole eventually became one of the city’s most active contractors. By the time he retired in 1934, his contributions to the city’s architecture included the Ralston-Purina Plant, the Masonic Temple, the Battle Creek High School, and the YWCA. During his fifty-year career, he also worked on the Ypsi…",,,Calhoun,Battle Creek
Hazelton,43.0866941969443,-83.96831826858742,1,2006,"Hazelton
In 1849 the state of Michigan gave Porter Hazelton over six thousand acres of land in what soon became Hazelton Township.  The land was partial payment for his construction of a bridge over the Flint River.  A thriving village, popularly known as “Ratville”, developed.  With an economy based primarily on agriculture, Hazelton by 1863 had three churches, a post office, a general store, and four hundred residents.  In 1902 the post office closed as the town gradually disappeared.",,,Shiawassee,New Lothrop
The Landing of Cadillac / Le Debarquement de Cadillac,42.327188995930335,-83.04370488686756,5,2001,"The Landing of Cadillac
After departing Montreal June 5, 1701, Antoine de la Mothe Cadillac and his convoy of twenty-five canoes sailed down this river, and on the evening of July 23 camped sixteen miles below the present city of Detroit on what is now Grosse Ile. On the morning of July 24, Cadillac returned upriver and reached a spot on the shore near the present intersection of West Jefferson and Shelby. Pleased with the strategic features, the bank towering some forty feet above the level of the river, Cadillac landed and planted the flag of France, taking possession of the territory in th…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/51/attachments/72,,Wayne,Detroit
Adrian College,41.89713400000005,-84.05935699999998,,1962,"Adrian College
Chartered on March 28, 1859, Adrian College traces its origins back to a Wesleyan Methodist theological institute founded at Leoni, Michigan, in 1845. This institution later became Michigan Union College. Strongly antislavery in its sentiments, the school was moved to Adrian in 1859 through the efforts of the antislavery leader and educator, Reverend Asa Mahan, who was elected first president of the new Adrian College. The college was transferred to the Methodist Protestant Church in 1868, and here for seventy-one years, leaders of this denominational union of American Methodis…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/53/attachments/73,,Lenawee,Adrian
The Roadside Table,42.88675000000006,-85.21209499899999,4,1964,"The Roadside Table
Here on old US-16 in Boston Township, Ionia County, the first picnic table along a highway right-of-way was placed in 1929 through the initiative of Allan Williams, county engineer. The table was built of salvage planks formerly used for guardrails. The idea immediately caught on and was adopted by the State Highway Department. The Ionia County Road Commission made the state’s tables until the work became too great. The roadside table became an emblem of Michigan’s hospitality, one which has been widely emulated by states the nation over.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/54/attachments/74,,Ionia,Saranac
First Baptist Church,42.317124000000035,-85.18044699999996,,1960,"First Baptist Church
The First Baptist Church, oldest church in Battle Creek, was organized in April 1835, with nineteen charter members. Meetings were held in the log schoolhouse the first few years. The present site was bought from Sands McCamly in 1843 for $275. The first building, completed in 1850, was replaced in 1871 by the present sanctuary at a cost of $26,500. Many members signed notes for the indebtedness. In 1957 an educational building was erected. The church was remodeled in 1959.",,,Calhoun,Battle Creek
St. Paul's Episcopal Church,43.01396900000003,-83.68893399999996,,1977,"St. Paul's Episcopal Church
The Reverend Daniel Brown came to this area in 1839 to help form a new Episcopal parish. He became the first rector of St. Paul’s in 1840 when it received canonical sanction. The congregation met in a temporary chapel and then in a small church before the present structure was started in 1872 through efforts of the Reverend Marcus Lane. This massive Gothic Revival building was designed by Gordon Lloyd of Detroit. The limestone, donated by a quarry in Flushing, was transported by members to the site. On August 24, 1873, the first service was held in this church. St.…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/56/attachments/77,,Genesee,Flint
Charles W. Nash,43.01720100000006,-83.69619199999994,,1988,"Charles W. Nash
This Queen Anne-style house, built circa 1890, was owned by automotive pioneer Charles W. Nash (1864-1948). Born in Illinois, Nash worked on area farms before forming a successful hay-processing firm, “Adams and Nash,” in 1882. He was hired by the Flint Road Cart Company as a cushion stuffer at $1.00 a day in 1890. He later became general manager and vice president of the Durant-Dort Carriage Company, general manager of the Buick Motor Company (1910) and president of Buick and the General Motors Corporation (1912). In 1916 he formed the Nash Motor Company.",,,Genesee,Flint
Bailey Fishery,45.29558085000008,-87.43832409099997,,2007,"Bailey Fishery
Mathias Bailey was a commercial fisherman who moved his family from Egg Harbor, Wisconsin, in 1870, seeking more abundant fishing on the west side of Green Bay.  In 1893 his son Charles bought 123 acres of land and built this house for his wife, Aurora.  Charles operated one of the area’s largest fisheries on this site from 1893 to 1950.  His daughter E. Leone Bailey, who died in 1994, willed the house, the fishery and 100 acres of land to the county for use as a museum and natural area.",,,Menominee,Menominee
Henry Ford Birthplace,42.328576303000034,-83.19440397899996,4,2023,"Henry Ford Birthplace
At this intersection stood the home in which Henry Ford was born on July 30, 1863. The farmhouse was owned by Ford’s parents, William and Mary Ford, and in 1944 it was moved to Greenfield Village. In a space of less than ten years at the beginning of this century, the founder of Ford Motor Company developed three separate and distinct concepts, any of which would have assured him an honored niche in history. He designed and built the Model T Ford car, “the car that put the world on wheels.” He inaugurated the moving automotive assembly line and developed the process of m…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/59/attachments/78,,Wayne,Dearborn
First Roadside Park,46.10650500000003,-88.54778699999997,,1964,"First Roadside Park
In 1918 the Iron County Board of Supervisors approved the recommendation of the road commission, through its engineer-manager, Herbert F. Larson, to purchase this 320-acre tract of roadside virgin timber and to dedicate it as a forest preserve. The following year Iron County established Michigan’s first roadside park and picnic tables. This was quite likely America’s first such facility. Since then similar parks have been provided by most states for the comfort and enjoyment of the traveling motorist.",,,Iron,Iron River
Home of the Ancestors / Home of the Ancestors,45.85747300000003,-84.61885299999994,2,2021,"Home of the Ancestors
Mackinac Island has long been a burial location for the Anishnaabek (Odawa, Ojibway and Potawatomi). Some of the burials on the island are more than one thousand years old. It is a common practice for the Anishnaabek to bury their dead near water and their villages. Once their kin are interred, the Anishnaabek remember them in special ceremonies, often called “feasts of the dead” or “ghost suppers.” Michigan Odawa, Ojibway and Potawatomi communities hold these feasts in autumn.

Home of the Ancestors
As part of respecting the dead, the Little Traverse Bay Bands of Odawa…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/61/attachments/81,,Mackinac,Mackinac Island
Lake View Hotel,45.847545000000025,-84.61858699999993,,1985,"Lake View Hotel
Originally known as the Lake View House, this is one of the oldest continuously operated hotels on Mackinac Island. Reuben Chapman built the structure in 1858. After his death in 1860, the hotel was operated by his wife, Maria. In 1880 the Chapmans’ daughter Jeannie and son-in-law Claude C. Cable purchased the structure. They later changed the name to the Lake View Hotel. In the 1890s, as Mackinac Island became a midwestern tourist mecca, the hotel was enlarged and the two large towers were added. The restaurant and bar were built in 1969 and expanded in 1975. The original por…",,,Mackinac,Mackinac Island
Trinity Church,43.265550000000076,-82.53099600099995,1,1977,"Trinity Church
This tall stately Gothic Style church with its elegant wood interior was built in 1874 during Sanilac County’s great lumbering era. The Reverend A. B. Flower came to Lexington as a missionary in 1869 and started this congregation known as the Church of the Good Shepherd. Among its active members was Mary Moore who married Albert Sleeper, governor of Michigan from 1917 to 1920. Sleeper served as vestryman and warden of the church until moving to Bad Axe. Since 1972 this has been the Lexington Chapel of Trinity Episcopal Church.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/63/attachments/82,,Sanilac,Lexington
Methodist Episcopal Church,42.646731000000045,-85.28757199999995,1,1995,"Methodist Episcopal Church
The first Methodist Episcopal Society, the oldest congregation in Hastings, erected this Greek Revival structure in 1860. In 1911 the Methodists built a new church on the northwest corner of Green and Church Streets. The following year it sold the older church to the Independent Order of Odd Fellows, which shared the space with the Rebekahs. In 1987 the Barry County Democratic Party acquired this adaptable building and named it the Thomas Jefferson Hall.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/64/attachments/86,,Barry,Hastings
David S. Walbridge,42.289972000000034,-85.58343699999995,,1976,"David S. Walbridge
Born in Vermont in 1802, David S. Walbridge became one of Kalamazoo’s most distinguished citizens. He moved here in the early 1840s and was a founding member of the First Presbyterian Church. Active in the business community, Walbridge set up a general store, bought a large flourmill, and invested in flat boats and plank road construction to transport his goods. His deep interest in Whig politics led to his participation in the first state Republican convention in Jackson, where he was named permanent chairman of the meeting. Elected to Congress in 1855, he served until 185…",,,Kalamazoo,Kalamazoo
Ray Township District No. 1 School,42.76982000000004,-82.92842699899995,1,2002,"Ray Township District No. 1 School
In 1863, Ray area farmers built what became known popularly as Mill School.  Kindergarten through eighth grade students attended school here until 1953.  That year the school district consolidated with Romeo School District and it transferred the property to the township.  Elections and community meetings were held in the building for many years.  In 1983 the simple Greek Revival style school became the Ray Township Library.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/66/attachments/87,,Macomb,Ray Township
Ward Mill Site / Ward Building Site,42.319980000000044,-85.18126799899994,,1991,"Ward Mill Site
In 1845 Joseph M. Ward (1822-1902) joined William Fargo in a livery and freight business, located on the corner of State and Jefferson Streets. In 1849 Ward bought an interest in a woolen mill on the nearby creek, which he operated until 1860. The next year he converted the mill to flour production. Ward’s son Frank (1860-1936) and E. C. Hinman (1852-1906) took over the business in 1882. Hinman left the business in 1888, and Frank Ward moved to Detroit in 1897. Joseph resumed control of the business until his death.

Ward Building Site
In 1905 Frank and Charles Ward erected a s…",,,Calhoun,Battle Creek
St. John the Baptist Church / St. John the Baptist Cemetery,43.09161300000005,-84.84628899999996,,2001,"St. John the Baptist Church
Organized in 1855 to serve Irish Catholic immigrants, the parish of St. John the Baptist worshipped in a simple church on the Cowman farm until 1868. That year, the parish of seventy families built this church, which seated four hundred people. It was the largest church in Ionia County at that time. St. John’s grew to include a cemetery (1884), a rectory (1907), a school (1917), a convent (1927), which was razed in 1987, and a parish hall (1977).

St. John the Baptist Cemetery
Consecrated in 1884, Saint John the Baptist Cemetery contains the graves of the Irish fou…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/69/attachments/91,,Ionia,Hubbardston
Troy Corners,42.60577100000006,-83.14983900099998,4,1968,"Troy Corners
The city of Troy was an unclaimed wilderness when Johnson Niles moved here with his family from New York in 1821. As a farmer, carpenter, innkeeper, and merchant, Niles did much to develop the area, offering advice and encouragement to the settlers who followed. By 1834 the township included over eleven hundred inhabitants and the thriving village of Troy Corners had grown out of Niles’s original settlement. Niles became Troy’s postmaster and supervisor, and served in the Michigan legislature as a representative and later as a senator. His original home, a log cabin, was replaced…",,,Oakland,Troy
